year,success,fledgeling,release_wild,pair
11,0,NA,wild-wild,3
11,0,NA,wild-wild,3
11,0,NA,wild-wild,3
11,0,NA,wild-wild,3
11,0,NA,wild-wild,3
12,1,2,released-released,1
12,0,NA,wild-released,2
12,0,NA,released-released,1
12,0,NA,released-released,1
12,1,4,released-released,1
12,0,NA,wild-released,2
12,0,NA,released-released,1
12,1,3,released-released,1
12,1,2,released-released,1
12,0,NA,wild-released,2
12,1,3,released-released,1
12,1,3,released-released,1
12,1,3,released-released,1
12,0,NA,released-released,1
12,1,3,released-released,1
12,0,NA,released-released,1
12,0,NA,released-released,1
12,0,NA,released-released,1
12,1,1,released-released,1
12,0,NA,released-released,1
12,0,NA,released-released,1
12,0,NA,wild-released,2
12,0,NA,released-released,1
12,0,NA,released-released,1
12,0,NA,wild-released,2
12,0,NA,wild-released,2
12,0,NA,wild-released,2
12,1,2,wild-released,2
12,0,NA,released-released,1
12,1,4,wild-released,2
12,0,NA,released-released,1
12,1,2,wild-released,2
12,0,NA,released-released,1
12,0,NA,released-released,1
12,0,NA,released-released,1
12,1,2,wild-released,2
12,0,NA,released-released,1
12,0,NA,released-released,1
12,0,NA,released-released,1
12,0,NA,released-released,1
12,0,NA,wild-released,2
12,0,NA,wild-released,2
12,1,3,released-released,1
12,1,2,released-released,1
12,0,NA,released-released,1
12,0,NA,released-released,1
12,0,NA,wild-released,2
12,0,NA,released-released,1
12,0,NA,wild-wild,3
12,1,3,wild-wild,3
12,1,3,released-wild,2
12,0,NA,wild-wild,3
12,0,NA,wild-wild,3
12,0,NA,wild-wild,3
12,1,1,released-wild,2
12,1,4,released-wild,2
12,1,1,released-wild,2
12,0,NA,released-wild,2
12,0,NA,wild-wild,3
12,1,2,wild-wild,3
12,0,NA,released-wild,2
12,0,NA,wild-wild,3
12,0,NA,released-wild,2
12,0,NA,wild-wild,3
12,0,NA,released-wild,2
12,0,NA,wild-wild,3
12,0,NA,wild-wild,3
12,0,NA,released-wild,2
12,1,1,wild-wild,3
12,1,1,released-wild,2
12,0,NA,wild-wild,3
12,1,2,released-wild,2
12,0,NA,released-wild,2
12,1,2,released-wild,2
12,0,NA,released-wild,2
12,1,2,released-wild,2
12,1,3,released-wild,2
12,0,NA,released-wild,2
12,1,4,released-wild,2
12,1,1,wild-wild,3
12,0,NA,wild-wild,3
12,0,NA,wild-wild,3
12,1,3,wild-wild,3
12,0,NA,wild-wild,3
12,1,2,wild-wild,3
12,0,NA,wild-wild,3
12,0,NA,wild-wild,3
12,1,1,wild-wild,3
12,0,NA,wild-wild,3
12,0,NA,wild-wild,3
12,1,1,wild-released,2
13,1,3,released-released,1
13,0,NA,wild-released,2
13,0,NA,released-released,1
13,1,3,wild-released,2
13,0,NA,released-released,1
13,0,NA,released-released,1
13,1,3,released-released,1
13,1,4,released-released,1
13,1,2,released-released,1
13,0,NA,wild-released,2
13,0,NA,released-released,1
13,0,NA,released-released,1
13,0,NA,released-released,1
13,1,1,released-released,1
13,0,NA,released-released,1
13,0,NA,released-released,1
13,1,1,released-released,1
13,0,NA,released-released,1
13,0,NA,released-released,1
13,0,NA,wild-released,2
13,1,2,wild-released,2
13,0,NA,released-released,1
13,0,NA,released-released,1
13,0,NA,wild-released,2
13,0,NA,wild-released,2
13,0,NA,released-released,1
13,0,NA,wild-released,2
13,0,NA,released-released,1
13,1,4,wild-released,2
13,0,NA,released-released,1
13,0,NA,released-released,1
13,0,NA,released-released,1
13,0,NA,released-released,1
13,0,NA,wild-released,2
13,0,NA,released-released,1
13,0,NA,released-released,1
13,1,1,wild-released,2
13,1,2,released-released,1
13,1,2,wild-released,2
13,0,NA,wild-released,2
13,0,NA,released-released,1
13,0,NA,released-released,1
13,1,3,wild-wild,3
13,0,NA,wild-wild,3
13,1,3,wild-wild,3
13,0,NA,released-wild,2
13,1,3,released-wild,2
13,1,2,released-wild,2
13,0,NA,wild-wild,3
13,1,2,wild-wild,3
13,0,NA,wild-wild,3
13,0,NA,released-wild,2
13,0,NA,wild-wild,3
13,0,NA,wild-wild,3
13,0,NA,wild-wild,3
13,1,4,released-wild,2
13,0,NA,wild-wild,3
13,0,NA,released-wild,2
13,0,NA,wild-wild,3
13,0,NA,wild-wild,3
13,1,2,wild-wild,3
13,1,3,released-wild,2
13,1,3,wild-wild,3
13,0,NA,released-wild,2
13,0,NA,released-wild,2
13,0,NA,released-wild,2
13,0,NA,released-wild,2
13,0,NA,released-wild,2
13,1,3,wild-wild,3
13,1,3,wild-wild,3
13,0,NA,wild-wild,3
13,0,NA,wild-wild,3
13,0,NA,wild-wild,3
13,0,NA,wild-wild,3
13,1,4,wild-wild,3
13,0,NA,wild-wild,3
13,0,NA,wild-wild,3
13,0,NA,wild-wild,3
13,0,NA,wild-wild,3
13,0,NA,wild-wild,3
14,0,NA,release-wild,2
14,0,NA,release-release,1
14,1,3,release-release,1
14,0,NA,release-wild,2
14,0,NA,release-wild,2
14,0,NA,release-release,1
14,0,NA,release-release,1
14,0,NA,release-release,1
14,0,NA,release-release,1
14,1,1,release-release,1
14,0,NA,release-release,1
14,1,2,release-release,1
14,0,NA,release-release,1
14,0,NA,release-release,1
14,1,1,release-release,1
14,1,1,release-wild,2
14,0,NA,release-release,1
14,0,NA,release-wild,2
14,1,1,release-release,1
14,0,NA,release-release,1
14,0,NA,release-release,1
14,0,NA,release-wild,2
14,0,NA,release-release,1
14,0,NA,release-wild,2
14,1,4,release-release,1
14,0,NA,release-release,1
14,0,NA,release-wild,2
14,0,NA,release-wild,2
14,0,NA,release-release,1
14,0,NA,release-wild,2
14,0,NA,release-wild,2
14,0,NA,release-release,1
14,0,NA,release-wild,2
14,0,NA,release-wild,2
14,0,NA,release-wild,2
14,0,NA,release-wild,2
14,0,NA,release-wild,2
14,0,NA,release-release,1
14,0,NA,release-wild,2
14,0,NA,release-wild,2
14,0,NA,release-wild,2
14,0,NA,release-release,1
14,1,2,release-release,1
14,0,NA,release-release,1
14,0,NA,wild-release,2
14,1,2,wild-wild,3
14,0,NA,wild-release,2
14,1,1,wild-release,2
14,1,2,wild-wild,3
14,0,NA,wild-release,2
14,0,NA,wild-wild,3
14,0,NA,wild-wild,3
14,0,NA,wild-wild,3
14,1,3,wild-wild,3
14,0,NA,wild-release,2
14,1,3,wild-wild,3
14,0,NA,wild-wild,3
14,0,NA,wild-wild,3
14,0,NA,wild-wild,3
14,0,NA,wild-wild,3
14,0,NA,wild-wild,3
14,1,2,wild-release,2
14,0,NA,wild-release,2
14,1,3,wild-wild,3
14,0,NA,wild-wild,3
14,0,NA,wild-wild,3
14,0,NA,wild-wild,3
14,0,NA,wild-release,2
14,0,NA,wild-wild,3
14,0,NA,wild-release,2
14,0,NA,wild-release,2
14,0,NA,wild-release,2
14,0,NA,wild-release,2
14,1,2,wild-wild,3
14,0,NA,wild-wild,3
14,0,NA,wild-wild,3
14,0,NA,wild-wild,3
14,1,2,wild-wild,3
14,0,NA,wild-wild,3
14,0,NA,wild-wild,3
14,0,NA,wild-wild,3
14,0,NA,wild-wild,3
14,0,NA,wild-wild,3
14,0,NA,wild-wild,3
14,0,NA,wild-wild,3
14,1,3,wild-wild,3
14,0,NA,wild-wild,3
14,0,NA,wild-wild,3
14,0,NA,wild-wild,3
14,0,NA,wild-wild,3
14,0,NA,wild-wild,3
14,0,NA,wild-wild,3
14,0,NA,wild-wild,3
14,0,NA,wild-wild,3
14,1,3,wild-wild,3
14,1,3,wild-wild,3
